"FREQ,""(VLOAD+)"""
"0,0.352436"
"1,0.419671"
"2,0.42817"
"3,0.425581"
"4,0.427467"
"5,0.430735"
"6,0.428874"
"7,0.436478"
"8,0.432302"
"9,0.44076"
"10,0.42738"
"11,0.446786"
"12,0.440942"
"13,0.443661"
"14,0.449191"
"15,0.4451"
"16,0.462786"
"17,0.466374"
"18,0.469867"
"19,0.475383"
"20,0.476875"
"21,0.489958"
"22,0.495752"
"23,0.501927"
"24,0.501934"
"25,0.515153"
"26,0.53058"
"27,0.531764"
"28,0.546998"
"29,0.555127"
"30,0.570097"
"31,0.57406"
"32,0.594196"
"33,0.608339"
"34,0.62465"
"35,0.645948"
"36,0.661159"
"37,0.674813"
"38,0.703117"
"39,0.730274"
"40,0.758968"
"41,0.785072"
"42,0.817509"
"43,0.849014"
"44,0.886145"
"45,0.935456"
"46,0.98137"
"47,1.02573"
"48,1.10602"
"49,1.18026"
"50,1.26931"
"51,1.3724"
"52,1.48043"
"53,1.64158"
"54,1.83158"
"55,2.06318"
"56,2.37627"
"57,2.78878"
"58,3.4063"
"59,4.40739"
"60,6.23825"
"61,10.7395"
"62,39.9128"
"63,22.894"
"64,8.83903"
"65,5.45734"
"66,3.93681"
"67,3.07123"
"68,2.50434"
"69,2.12094"
"70,1.84013"
"71,1.61737"
"72,1.44435"
"73,1.30064"
"74,1.18226"
"75,1.0851"
"76,1.00471"
"77,0.936022"
"78,0.864837"
"79,0.813194"
"80,0.762346"
"81,0.7213"
"82,0.677618"
"83,0.649119"
"84,0.61307"
"85,0.584454"
"86,0.552268"
"87,0.531928"
"88,0.510391"
"89,0.488104"
"90,0.475783"
"91,0.451798"
"92,0.437597"
"93,0.42625"
"94,0.411807"
"95,0.394547"
"96,0.381537"
"97,0.367118"
"98,0.356487"
"99,0.34392"
"100,0.330608"
"101,0.325902"
"102,0.317303"
"103,0.308696"
"104,0.298883"
"105,0.295371"
"106,0.288552"
"107,0.276482"
"108,0.269306"
"109,0.25812"
"110,0.26849"
"111,0.256781"
"112,0.252085"
"113,0.248567"
"114,0.238771"
"115,0.24112"
"116,0.228945"
"117,0.226682"
"118,0.221557"
"119,0.221189"
"120,0.214761"
"121,0.217388"
"122,0.215171"
"123,0.218494"
"124,0.247282"
"125,0.0501285"
"126,0.160593"
"127,0.167187"
"128,0.170704"
"129,0.172495"
"130,0.166268"
"131,0.1644"
"132,0.162671"
"133,0.161466"
"134,0.156958"
"135,0.159479"
"136,0.152858"
"137,0.152994"
"138,0.152165"
"139,0.149845"
"140,0.148916"
"141,0.145239"
"142,0.142868"
"143,0.140696"
"144,0.139552"
"145,0.14041"
"146,0.135862"
"147,0.13351"
"148,0.132191"
"149,0.132125"
"150,0.129711"
"151,0.125247"
"152,0.125467"
"153,0.123667"
"154,0.121444"
"155,0.11888"
"156,0.120378"
"157,0.119423"
"158,0.118106"
"159,0.115036"
"160,0.114165"
"161,0.115553"
"162,0.112053"
"163,0.110288"
"164,0.108925"
"165,0.107191"
"166,0.106364"
"167,0.104547"
"168,0.1025"
"169,0.102142"
"170,0.099645"
"171,0.097921"
"172,0.0992357"
"173,0.0961641"
"174,0.0941707"
"175,0.0913812"
"176,0.0908053"
"177,0.0902004"
"178,0.0867669"
"179,0.0839863"
"180,0.0811429"
